,County,Violent crime,"Murder and 
nonnegligent 
manslaughter","Rape
(revised definition)1","Rape
(legacy definition)2",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson
,Carson City,133.0,4.0,,0.0,17.0,112.0,924.0,202.0,654.0,68.0,6.0
,Storey,37.0,0.0,,3.0,2.0,32.0,88.0,32.0,54.0,2.0,1.0
,Washoe,161.0,6.0,,19.0,12.0,124.0,983.0,452.0,448.0,83.0,15.0
,Churchill,12.0,0.0,,0.0,0.0,12.0,207.0,91.0,102.0,14.0,0.0
,Douglas,66.0,2.0,,12.0,11.0,41.0,815.0,143.0,631.0,41.0,2.0
,Elko,24.0,0.0,,9.0,1.0,14.0,241.0,113.0,105.0,23.0,0.0
,Esmeralda,2.0,0.0,,0.0,1.0,1.0,13.0,3.0,7.0,3.0,0.0
,Eureka,8.0,0.0,,0.0,0.0,8.0,34.0,19.0,13.0,2.0,0.0
,Humboldt,51.0,0.0,,0.0,1.0,50.0,64.0,24.0,29.0,11.0,0.0
,Lander,47.0,0.0,,12.0,0.0,35.0,127.0,59.0,59.0,9.0,0.0
,Lincoln,4.0,0.0,,0.0,0.0,4.0,45.0,1.0,37.0,7.0,1.0
,Lyon,124.0,5.0,,9.0,7.0,103.0,"1,084.0",312.0,698.0,74.0,9.0
,Nye3 ,,3.0,,13.0,12.0,,925.0,370.0,470.0,85.0,13.0
,Pershing,32.0,0.0,,2.0,0.0,30.0,41.0,7.0,23.0,11.0,1.0
,White Pine,26.0,0.0,,3.0,1.0,22.0,82.0,29.0,46.0,7.0,4.0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
