,County,Violent crime,"Murder and 
nonnegligent 
manslaughter","Forcible 
rape",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson
,Carson City,162.0,0.0,1.0,20.0,141.0,"1,133.0",281.0,768.0,84.0,3.0
,Storey,5.0,0.0,0.0,0.0,5.0,50.0,17.0,30.0,3.0,2.0
,Washoe,232.0,1.0,23.0,11.0,197.0,"1,097.0",386.0,596.0,115.0,7.0
,Churchill,39.0,1.0,6.0,1.0,31.0,213.0,88.0,92.0,33.0,2.0
,Douglas,61.0,0.0,3.0,4.0,54.0,818.0,176.0,605.0,37.0,8.0
,Elko,12.0,0.0,1.0,0.0,11.0,49.0,27.0,18.0,4.0,1.0
,Esmeralda,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0
,Eureka,8.0,0.0,0.0,0.0,8.0,18.0,6.0,11.0,1.0,0.0
,Humboldt,50.0,1.0,0.0,0.0,49.0,53.0,20.0,27.0,6.0,0.0
,Lander,43.0,0.0,11.0,0.0,32.0,95.0,47.0,40.0,8.0,0.0
,Lincoln,7.0,0.0,0.0,0.0,7.0,39.0,4.0,34.0,1.0,0.0
,Lyon,95.0,2.0,3.0,11.0,79.0,707.0,210.0,439.0,58.0,5.0
,Mineral,22.0,0.0,0.0,0.0,22.0,31.0,18.0,11.0,2.0,0.0
,Nye,334.0,4.0,15.0,39.0,276.0,"1,255.0",468.0,653.0,134.0,11.0
,Pershing,25.0,0.0,7.0,0.0,18.0,49.0,18.0,28.0,3.0,0.0
,White Pine,33.0,1.0,7.0,1.0,24.0,136.0,50.0,77.0,9.0,4.0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
