,County,Violent crime,"Murder and 
nonnegligent 
manslaughter","Rape
(revised definition)1","Rape
(legacy definition)2",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson
,Asotin,25,0,2,,3,20,187,46,131,10,0
,Benton,53,2,5,,4,42,490,153,290,47,2
,Chelan,42,0,4,,3,35,486,147,307,32,0
,Clark,245,1,26,,39,179,"3,390",910,"2,040",440,33
,Columbia,3,0,1,,0,2,213,54,156,3,0
,Cowlitz,90,1,40,,4,45,592,229,310,53,2
,Douglas,15,0,2,,2,11,419,139,243,37,0
,Franklin,24,1,3,,1,19,191,50,129,12,7
,King,377,4,,66,113,194,"5,291","2,105","2,498",688,42
,Kitsap,361,1,62,,35,263,"4,084","1,213","2,585",286,22
,Pend Oreille,17,1,4,,0,12,434,143,250,41,2
,Pierce,975,10,93,,182,690,"9,894","3,263","5,523","1,108",59
,Skagit,107,3,10,,17,77,"1,428",595,744,89,11
,Skamania,19,0,6,,0,13,106,27,71,8,0
,Spokane,167,4,,28,41,94,"3,788",963,"2,451",374,10
,Stevens,30,2,13,,3,12,505,218,241,46,2
,Thurston,244,3,31,,33,177,"2,555","1,102","1,256",197,12
,Walla Walla,12,0,5,,1,6,377,130,230,17,3
,Whatcom,157,0,,30,12,115,"1,330",417,828,85,10
,Yakima,108,4,11,,23,70,"1,604",678,717,209,11
,Adams,24,2,5,,1,16,310,119,157,34,4
,Clallam,66,0,12,,4,50,874,303,523,48,1
,Ferry,8,0,5,,0,3,43,25,16,2,0
,Garfield,3,0,0,,0,3,51,7,40,4,0
,Grant,95,1,20,,11,63,"1,462",434,873,155,10
,Grays Harbor,34,0,3,,2,29,526,242,232,52,2
,Island,35,0,10,,3,22,772,315,431,26,2
,Jefferson,29,0,10,,0,19,362,90,250,22,0
,Kittitas,14,0,2,,1,11,340,131,183,26,0
,Klickitat,8,1,0,,0,7,93,54,22,17,0
,Lewis,59,1,10,,1,47,611,265,315,31,4
,Lincoln,9,0,2,,0,7,137,48,80,9,1
,Mason,82,1,13,,7,61,"1,273",550,613,110,1
,Okanogan,34,5,4,,3,22,413,155,223,35,2
,Pacific,28,0,2,,1,25,321,161,144,16,2
,Wahkiakum,3,0,0,,0,3,28,9,17,2,0
,Whitman,14,0,4,,2,8,63,22,37,4,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
