,County,Violent crime,"Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
,Asotin,14,0,4,,0,10,172,35,117,20,1
,Benton,68,1,14,,6,47,522,172,300,50,7
,Chelan,35,0,2,,2,31,655,187,428,40,1
,Clark,323,4,80,,44,195,"2,706",673,"1,455",578,22
,Columbia,3,0,0,,0,3,134,20,111,3,1
,Cowlitz,52,1,15,,4,32,422,153,204,65,6
,Douglas,26,1,4,,1,20,328,91,200,37,3
,Franklin,23,0,3,,3,17,158,62,87,9,7
,King,385,3,,67,98,217,"4,397","1,352","2,166",879,44
,Kitsap,376,1,63,,38,274,"3,985",965,"2,723",297,17
,Pend Oreille,26,0,8,,1,17,282,71,189,22,2
,Pierce,"1,193",12,142,,243,796,"9,191","2,649","5,001","1,541",40
,Skagit,90,1,15,,8,66,"1,135",417,626,92,4
,Skamania,8,0,1,,0,7,70,21,43,6,0
,Snohomish,566,4,106,,89,367,"5,748","1,692","3,082",974,29
,Spokane3,184,2,47,,28,107,"3,885",936,"2,611",338,15
,Stevens,32,1,5,,1,25,547,259,253,35,2
,Thurston,255,6,23,,21,205,"2,314",748,"1,310",256,9
,Walla Walla,26,0,7,,2,17,261,86,140,35,1
,Whatcom,166,4,41,,14,107,"1,216",427,705,84,9
,Yakima,132,6,17,,24,85,"1,761",583,892,286,19
,Adams,23,1,4,,3,15,189,80,87,22,0
,Clallam,89,2,15,,2,70,605,192,376,37,6
,Ferry,7,0,4,,0,3,21,8,12,1,1
,Garfield,2,0,0,,0,2,64,31,32,1,1
,Grant,83,2,11,,8,62,"1,307",365,766,176,7
,Grays Harbor,26,1,4,,0,21,390,100,255,35,6
,Island,32,1,2,,1,28,524,194,312,18,2
,Jefferson,17,0,2,,1,14,189,65,103,21,2
,Kittitas,8,0,3,,0,5,131,36,80,15,1
,Klickitat,8,2,2,,0,4,82,47,25,10,0
,Lewis,48,0,9,,1,38,504,184,273,47,3
,Lincoln,9,0,2,,2,5,152,52,83,17,2
,Mason,99,5,15,,9,70,"1,022",347,557,118,3
,Okanogan,29,0,3,,0,26,242,99,120,23,1
,Pacific,25,1,4,,1,19,201,74,117,10,0
,San Juan,10,1,1,,1,7,177,35,136,6,3
,Wahkiakum,9,0,2,,0,7,42,14,26,2,0
,Whitman,19,0,8,,1,10,94,55,28,11,1
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
