,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Metropolitan/Nonmetropolitan,County,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,Total
Metropolitan Counties,Adams County,462,6,80,,58,318,"2,319",442,"1,401",476,37,"5,599"
,Arapahoe County,215,1,40,,21,153,"1,292",345,796,151,12,"3,026"
,Clear Creek County,28,0,5,,0,23,77,20,50,7,0,210
,Douglas County,151,1,62,,6,82,"1,440",301,"1,034",105,8,"3,190"
,Elbert County,0,0,0,,0,0,2,0,2,0,0,4
,El Paso County,438,3,71,,24,340,"2,202",610,"1,406",186,31,"5,311"
,Gilpin County,10,0,0,,0,10,59,14,36,9,0,138
,Jefferson County,167,4,47,,15,101,"2,161",366,"1,656",139,14,"4,670"
,Larimer County,109,2,26,,2,79,838,223,536,79,13,"1,907"
,Mesa County,203,2,42,,13,146,"1,083",222,757,104,19,"2,591"
,Park County,18,0,2,,0,16,48,21,24,3,0,132
,Pueblo County,51,0,4,,6,41,"1,231",243,896,92,2,"2,566"
,Teller County,34,0,7,,1,26,64,24,36,4,3,199
,Weld County,154,2,19,,6,127,765,218,489,58,7,"1,845"
Nonmetropolitan Counties,Alamosa County,0,0,0,,0,0,39,3,36,0,1,79
,Baca County,1,0,1,,0,0,5,1,1,3,0,12
,Bent County,8,0,1,,1,6,69,26,37,6,0,154
,Chaffee County,4,0,2,,0,2,63,18,35,10,0,134
,Cheyenne County,2,0,0,,0,2,0,0,0,0,0,4
,Conejos County,1,0,1,,0,0,13,5,8,0,0,28
,Costilla County,8,0,0,,0,8,18,8,7,3,0,52
,Crowley County,3,0,0,,0,3,4,4,0,0,0,14
,Custer County,4,0,0,,0,4,35,6,25,4,0,78
,Delta County,4,0,4,,0,0,111,24,77,10,0,230
,Dolores County,2,0,1,,0,1,18,14,2,2,0,40
,Eagle County,45,3,8,,2,32,300,52,233,15,4,694
,Fremont County,42,1,6,,1,34,186,49,117,20,2,458
,Garfield County,27,1,16,,0,10,185,47,126,12,4,428
,Grand County,8,0,4,,0,4,46,8,37,1,0,108
,Gunnison County,1,0,0,,0,1,19,2,17,0,3,43
,Hinsdale County,0,0,0,,0,0,4,1,3,0,0,8
,Huerfano County,8,0,2,,0,6,16,1,11,4,0,48
,Jackson County,0,0,0,,0,0,2,0,2,0,0,4
,Kit Carson County,4,0,1,,0,3,40,10,24,6,0,88
,Lake County,5,0,2,,1,2,49,11,30,8,0,108
,La Plata County,37,0,18,,0,19,183,59,109,15,1,441
,Las Animas County,1,0,0,,0,1,1,0,0,1,1,5
,Lincoln County,4,0,0,,0,4,12,2,7,3,0,32
,Logan County,11,0,1,,0,10,89,22,64,3,1,201
,Moffat County,0,0,0,,0,0,6,4,2,0,0,12
,Montezuma County,34,0,4,,1,29,156,48,96,12,2,382
,Montrose County,33,0,9,,3,21,253,94,139,20,1,573
,Morgan County,11,0,3,,0,8,95,15,67,13,2,214
,Ouray County,0,0,0,,0,0,0,0,0,0,0,0
,Phillips County,3,0,2,,0,1,4,1,2,1,0,14
,Pitkin County,4,1,0,,0,3,29,2,26,1,0,66
,Prowers County,2,0,0,,0,2,17,6,10,1,0,38
,Rio Blanco County,0,0,0,,0,0,37,0,36,1,0,74
,Rio Grande County,2,0,0,,0,2,14,11,3,0,0,32
,Routt County,6,0,1,,0,5,45,11,33,1,1,103
,Saguache County,3,0,0,,0,3,36,11,22,3,0,78
,San Juan County,1,1,0,,0,0,17,4,13,0,0,36
,San Miguel County,0,0,0,,0,0,0,0,0,0,0,0
,Sedgwick County,8,0,1,,0,7,22,6,16,0,0,60
,Summit County,21,0,14,,0,7,200,43,146,11,2,444
1 The figures shown in this column for the offense of rape were reported using the revised Uniform Crime Reporting (UCR) definition of rape.  See Data Declaration for further explanation.,,,,,,,,,,,,,
2 The figures shown in this column for the offense of rape were reported using the legacy UCR definition of rape.  See Data Declaration for further explanation.,,,,,,,,,,,,,
