,County,Violent crime,"Murder and 
nonnegligent 
manslaughter","Forcible 
rape",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson1
,Benton,20,3,3,0,14,200,56,132,12,2
,Clackamas,202,3,35,96,68,"5,492",891,"4,228",373,22
,Deschutes,240,1,14,6,219,982,203,734,45,8
,Jackson,141,2,21,2,116,"1,127",281,797,49,5
,Lane,241,2,20,17,202,"1,146",484,545,117,8
,Marion,70,1,19,19,31,"1,893",486,"1,216",191,3
,Multnomah,45,0,6,4,35,841,111,657,73,3
,Polk,30,1,2,0,27,378,106,249,23,3
,Washington,266,1,66,44,155,"2,663",566,"1,909",188,22
,Yamhill,31,2,8,4,17,582,168,385,29,5
,Baker,2,0,2,0,0,30,15,14,1,0
,Clatsop,7,0,0,0,7,134,26,98,10,2
,Coos,57,2,1,3,51,589,187,364,38,2
,Crook,22,0,2,2,18,125,47,77,1,3
,Curry,8,0,0,1,7,231,69,145,17,0
,Douglas,35,1,19,2,13,558,160,345,53,15
,Gilliam,0,0,0,0,0,16,4,12,0,0
,Grant,0,0,0,0,0,40,3,36,1,0
,Harney,7,0,0,0,7,27,12,14,1,0
,Hood River,10,1,3,2,4,153,28,115,10,1
,Jefferson,8,0,1,2,5,184,61,108,15,2
,Josephine,64,2,11,10,41,726,237,419,70,3
,Klamath,54,0,9,9,36,451,259,140,52,5
,Lincoln,52,0,10,0,42,344,133,200,11,3
,Linn,19,0,7,4,8,935,246,582,107,4
,Malheur,2,0,0,0,2,203,63,129,11,
,Morrow,15,0,6,1,8,226,39,170,17,3
,Sherman,0,0,0,0,0,34,6,24,4,1
,Tillamook,15,0,1,2,12,289,114,161,14,2
,Umatilla,59,2,8,5,44,564,184,293,87,3
,Union,15,0,0,1,14,310,64,227,19,0
,Wallowa,1,0,0,0,1,37,13,21,3,0
,Wasco,5,1,0,0,4,112,40,67,5,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
